"time" "obs"
"1" 1969.84296613394 0.114
"2" 1969.85310502283 0.114
"3" 1969.85332952816 0.13
"4" 1969.85406202435 0.211
"5" 1969.854847793 0.211
"6" 1969.85583523592 0.346
"7" 1969.85629756469 0.346
"8" 1969.85724885845 0.251
"9" 1969.85951674277 0.251
"10" 1969.8601065449 0.449
"11" 1969.86149733638 0.449
"12" 1969.86498287671 0.251
"13" 1969.86673515982 0.211
"14" 1969.8674695586 0.346
"15" 1969.87037480974 0.295
"16" 1969.87756278539 0.211
"17" 1969.88135844749 0.211
"18" 1969.88369292237 0.251
"19" 1969.8935216895 0.171
"20" 1969.89370814307 0.211
"21" 1969.89396118721 0.211
"22" 1969.89430365297 0.295
"23" 1969.89482305936 0.346
"24" 1969.89832191781 0.295
"25" 1969.89849505327 0.5
"26" 1969.89871194825 0.91
"27" 1969.89891171994 0.91
"28" 1969.89908675799 1.3
"29" 1969.89939497717 1.48
"30" 1969.89965943683 2.21
"31" 1969.90047184170 1.48
"32" 1969.90071727549 1.3
"33" 1969.90109969559 1.3
"34" 1969.90136605784 1.53
"35" 1969.90162290715 1.48
"36" 1969.90457191781 1
"37" 1969.90844748858 0.661
"38" 1969.91205098935 0.5
"39" 1969.91269406393 0.661
"40" 1969.91543378995 0.5
"41" 1969.91680365297 0.449
"42" 1969.91861491629 0.449
"43" 1969.91879375951 0.398
"44" 1969.92467846271 0.398
"45" 1969.92551940639 0.449
"46" 1969.92571156773 0.5
"47" 1969.92590372907 0.581
"48" 1969.92625570776 1.19
"49" 1969.92630707763 1.48
"50" 1969.92643074581 2.35
"51" 1969.92664193303 4.27
"52" 1969.92683409437 4.45
"53" 1969.92716133942 3.91
"54" 1969.92744482496 3.91
"55" 1969.92764840183 4.45
"56" 1969.92781582953 4.45
"57" 1969.92865677321 3.02
"58" 1969.92977359209 2.21
"59" 1969.93183980213 1.67
"60" 1969.93307077626 1.48
"61" 1969.93799657534 0.91
"62" 1969.93885464231 0.91
"63" 1969.94327054795 0.661
"64" 1969.94744863014 0.742
"65" 1969.94804604262 0.581
